time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,15.7,74,2.3,2025-12-11,0,mild,14.219999999999999
2025-12-11 01:00:00,14.8,75,3.1,2025-12-11,1,mild,13.3
2025-12-11 02:00:00,13.8,77,2.6,2025-12-11,2,mild,12.260000000000002
2025-12-11 03:00:00,12.8,79,2.6,2025-12-11,3,mild,11.22
2025-12-11 04:00:00,12.1,79,3.1,2025-12-11,4,mild,10.52
2025-12-11 05:00:00,13.1,75,2.6,2025-12-11,5,mild,11.6
2025-12-11 06:00:00,12.6,74,2.3,2025-12-11,6,mild,11.12
2025-12-11 07:00:00,13.3,74,2.1,2025-12-11,7,mild,11.82
2025-12-11 08:00:00,16.8,72,1.1,2025-12-11,8,mild,15.360000000000001
2025-12-11 09:00:00,20.8,57,1.6,2025-12-11,9,warm,19.66
2025-12-11 10:00:00,23.3,50,3.6,2025-12-11,10,warm,22.3
2025-12-11 11:00:00,25.3,40,5.7,2025-12-11,11,warm,24.5
2025-12-11 12:00:00,26.4,36,7.3,2025-12-11,12,warm,25.68
2025-12-11 13:00:00,26.9,36,6.9,2025-12-11,13,warm,26.18
2025-12-11 14:00:00,26.9,37,6.8,2025-12-11,14,warm,26.16
2025-12-11 15:00:00,26.5,38,7.1,2025-12-11,15,warm,25.74
2025-12-11 16:00:00,25.3,44,6.1,2025-12-11,16,warm,24.42
2025-12-11 17:00:00,22.6,55,3.8,2025-12-11,17,warm,21.5
2025-12-11 18:00:00,20.8,58,3.0,2025-12-11,18,warm,19.64
2025-12-11 19:00:00,19.5,61,1.8,2025-12-11,19,mild,18.28
2025-12-11 20:00:00,18.3,65,1.9,2025-12-11,20,mild,17.0
2025-12-11 21:00:00,17.4,67,1.1,2025-12-11,21,mild,16.06
2025-12-11 22:00:00,16.5,70,1.5,2025-12-11,22,mild,15.1
2025-12-11 23:00:00,15.7,73,2.2,2025-12-11,23,mild,14.239999999999998
